Estado,Anio,PIB,PIBperCapita,Poblacion
Distrito Federal,2013,2673066.331,298311.0471,8960669
Distrito Federal,2014,2748551.988,305737.095,8989920
Distrito Federal,2015,2869792.908,318188.085,9019172
Distrito Federal,2016,2957233.594,326823.0889,9048424
Distrito Federal,2017,3045539.859,335497.795,9077675
Distrito Federal,2018,3128247.71,343502.032,9106927
Durango,2003,152922.727,101070.0872,1513037
Durango,2004,157662.281,103322.3582,1525927
Durango,2005,155001.886,100728.0378,1538816
Durango,2006,160388.081,103362.4612,1551706
Durango,2007,162709.802,103994.841,1564595
Durango,2008,165722.989,105055.221,1577485
Durango,2009,163083.647,102544.1994,1590375
Durango,2010,169268.084,105577.1882,1603264
Durango,2011,176314.713,109095.2819,1616154
Durango,2012,182943.056,112300.9347,1629044
Durango,2013,189052.812,115140.4175,1641933
Durango,2014,192968.629,116609.8809,1654823
Durango,2015,192888.101,115660.3254,1667712
Durango,2016,200660.962,119398.2985,1680602
Durango,2017,199559.31,117839.0045,1693492
Durango,2018,202546.99,118699.7619,1706381
Guanajuato,2003,438354.387,89530.17709,4896164
Guanajuato,2004,450953.155,90807.03716,4966060
Guanajuato,2005,454625.559,90275.92678,5035956
Guanajuato,2006,477646.929,93548.92439,5105852
Guanajuato,2007,488729.604,94426.86047,5175748
Guanajuato,2008,503024.423,95893.74533,5245644
Guanajuato,2009,481674.906,90616.36781,5315540
Guanajuato,2010,517168.681,96030.98063,5385436
Guanajuato,2011,548163.17,100482.0946,5455332
Guanajuato,2012,570921.987,103330.0344,5525228
Guanajuato,2013,594575.532,106266.7316,5595124
Guanajuato,2014,620084.804,109458.5383,5665020
Guanajuato,2015,653849.926,114012.1191,5734916
Guanajuato,2016,673328.294,115994.8486,5804813
Guanajuato,2017,704179.453,119866.2884,5874709
Guanajuato,2018,712902.447,119924.2931,5944605
Guerrero,2003,182713.981,58407.57267,3128259
Guerrero,2004,192557.837,60879.06853,3162957
Guerrero,2005,195219.889,61050.96758,3197655
Guerrero,2006,199540.65,61732.33459,3232353
Guerrero,2007,204879.83,62710.95291,3267051
Guerrero,2008,208284.821,63083.19515,3301749
Guerrero,2009,201239.316,60315.47113,3336447
Guerrero,2010,211890.535,62854.19282,3371145
Guerrero,2011,214478.174,62973.61351,3405842
Guerrero,2012,218118.481,63396.5856,3440540
Guerrero,2013,218811.378,62962.994,3475238
Guerrero,2014,227659.005,64861.30248,3509936
Guerrero,2015,229580.566,64768.48821,3544634
Guerrero,2016,234185.03,65427.0276,3579332
Guerrero,2017,234094.182,64773.7316,3614030
Guerrero,2018,240983.724,66045.96333,3648728
Hidalgo,2003,179553.378,76192.57726,2356574
Hidalgo,2004,191549.579,80069.21331,2392301
Hidalgo,2005,190073.779,78283.22619,2428027
Hidalgo,2006,195404.535,79311.71329,2463754
Hidalgo,2007,201655.418,80678.92583,2499481
Hidalgo,2008,208800.335,82360.25129,2535208
Hidalgo,2009,195581.126,76073.94354,2570935
Hidalgo,2010,206303.584,79144.75735,2606662
Hidalgo,2011,214569.188,81202.74677,2642389
Hidalgo,2012,222797.005,83191.71819,2678116
Hidalgo,2013,230982.767,85112.82473,2713843
Hidalgo,2014,243064.784,88401.04904,2749570
Hidalgo,2015,258695.052,92878.83991,2785296
Hidalgo,2016,268833.622,95296.50806,2821023
Hidalgo,2017,270118.073,94554.3367,2856750
Hidalgo,2018,277326.475,95878.55438,2892477
Jalisco,2003,794957.322,119810.0402,6635148
Jalisco,2004,819238.31,121687.9795,6732287
Jalisco,2005,842128.813,123308.895,6829425
Jalisco,2006,886009.726,127914.7689,6926564
Jalisco,2007,913139.834,130008.3465,7023702
Jalisco,2008,918573.456,128997.9055,7120841
Jalisco,2009,870319.1,120576.5707,7217979
Jalisco,2010,925371.837,126501.3037,7315118
Jalisco,2011,953148.056,128590.8265,7412256
Jalisco,2012,995285.999,132538.792,7509394
Jalisco,2013,1018578.607,133908.4035,7606533
Jalisco,2014,1067256.762,138538.7284,7703671
Jalisco,2015,1104884.87,141637.2106,7800810
Jalisco,2016,1149129.548,145497.2333,7897948
Jalisco,2017,1176616.034,147167.3978,7995087
